CAT_ID,NME,DESC
1,COUNTRY,Country Code
2,PROPOSAL_STATUS,Proposal Status
3,PROJECT_STATUS,Project Status
4,TITLE,Title
5,USER_TYPE,User Type
6,PROJECT_INTREST_STATUS,Project Itrest Status
7,MEMBER_ROLE,Member Role
8,FEEDBACK_STATUS,Feedback Status
9,TASK_STATUS,Task Status
10,CERTIFICATE_REQUEST_STATUS,Certificate Request Status
11,CERTIFICATE_REQUEST_TYPE,Certificate Request Type
12,ROLE,System role - used for security check
13,JOB TITLE,The job title to be used in each user detail
